time unit: ns, FMC_A[14..0], FMC_A[14], FMC_A[13], FMC_A[12], FMC_A[11], FMC_A[10], FMC_A[9], FMC_A[8], FMC_A[7], FMC_A[6], FMC_A[5], FMC_A[4], FMC_A[3], FMC_A[2], FMC_A[1], FMC_A[0], FMC_D[15..0], FMC_D[15], FMC_D[14], FMC_D[13], FMC_D[12], FMC_D[11], FMC_D[10], FMC_D[9], FMC_D[8], FMC_D[7], FMC_D[6], FMC_D[5], FMC_D[4], FMC_D[3], FMC_D[2], FMC_D[1], FMC_D[0], FMC_NE1, FMC_NOE, FMC_NWE, DAC_D[9..0], DAC_D[9], DAC_D[8], DAC_D[7], DAC_D[6], DAC_D[5], DAC_D[4], DAC_D[3], DAC_D[2], DAC_D[1], DAC_D[0], dac_enable, 
0, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, 
8, 03FF, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11F9, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
128, 0400, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9638, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
136, 0400, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9638, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
144, 0400, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9638, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
152, 0400, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9638, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
160, 0400, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9638, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
168, 0402, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9638, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
176, 0401, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9638, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
184, 0401, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9638, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
192, 0401, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9638, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
200, 0401, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9638, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
